timestamp,TimeUS,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,ErrRP,ErrYaw
1521997578.14066982,5626040,0.0,1.84,0.0,5.72,0.0,4.75,1.0,0.51
1521997578.18020177,5665572,0.0,1.83,0.0,5.71,0.0,4.7,1.0,0.51
1521997578.22036290,5705733,0.0,1.83,0.0,5.71,0.0,4.65,0.8,0.51
1521997578.26001787,5745388,0.0,1.85,0.0,5.71,0.0,4.67,0.8,0.41
1521997578.30006981,5785440,0.0,1.86,0.0,5.72,0.0,4.76,0.8,0.41
1521997578.34001184,5825382,0.0,1.88,0.0,5.72,0.0,4.84,0.8,0.33
1521997578.38029575,5865666,0.0,1.9,0.0,5.73,0.0,4.9,0.8,0.33
1521997578.42030478,5905675,0.0,1.91,0.0,5.73,0.0,4.95,0.8,0.33
1521997578.46017981,5945550,0.0,1.91,0.0,5.73,0.0,4.97,0.64,0.27
1521997578.50017476,5985545,0.0,1.91,0.0,5.73,0.0,4.94,0.64,0.27
1521997578.54036593,6025736,0.0,1.92,0.0,5.74,0.0,4.91,0.64,0.21
1521997578.58020091,6065571,0.0,1.92,0.0,5.74,0.0,4.89,0.64,0.21
1521997578.62037492,6105745,0.0,1.92,0.0,5.74,0.0,4.86,0.64,0.21
1521997578.66003275,6145403,0.0,1.92,0.0,5.75,0.0,4.86,0.51,0.17
1521997578.70027876,6185649,0.0,1.94,0.0,5.76,0.0,4.89,0.51,0.17
1521997578.74022889,6225599,0.0,1.95,0.0,5.76,0.0,4.92,0.51,0.14
1521997578.78030682,6265677,0.0,1.96,0.0,5.77,0.0,4.95,0.51,0.14
1521997578.82034183,6305712,0.0,1.97,0.0,5.78,0.0,4.97,0.51,0.14
1521997578.86018777,6345558,0.0,1.98,0.0,5.78,0.0,4.98,0.41,0.11
1521997578.90005684,6385427,0.0,1.98,0.0,5.79,0.0,4.98,0.41,0.11
1521997578.94022679,6425597,0.0,1.98,0.0,5.8,0.0,4.97,0.41,0.09
1521997578.98033595,6465706,0.0,1.98,0.0,5.8,0.0,4.94,0.41,0.09
1521997579.02329493,6508665,0.0,1.98,0.0,5.81,0.0,4.91,0.41,0.09
1521997579.06057978,6545950,0.0,1.97,0.0,5.81,0.0,4.86,0.32,0.07
1521997579.10043883,6585809,0.0,1.97,0.0,5.82,0.0,4.81,0.32,0.07
1521997579.14043283,6625803,0.0,1.97,0.0,5.82,0.0,4.76,0.32,0.06
1521997579.18051386,6665884,0.0,1.98,0.0,5.83,0.0,4.76,0.32,0.06
1521997579.22106695,6706437,0.0,1.97,0.0,5.83,0.0,4.77,0.32,0.06
1521997579.26030374,6745674,0.0,1.98,0.0,5.83,0.0,4.76,0.26,0.05
1521997579.30010486,6785475,0.0,1.98,0.0,5.83,0.0,4.71,0.26,0.05
1521997579.34039092,6825761,0.0,1.97,0.0,5.84,0.0,4.68,0.26,0.04
1521997579.38050079,6865871,0.0,1.96,0.0,5.84,0.0,4.62,0.26,0.04
1521997579.42034173,6905712,0.0,1.96,0.0,5.84,0.0,4.57,0.26,0.04
1521997579.46021295,6945583,0.0,1.96,0.0,5.84,0.0,4.52,0.21,0.03
1521997579.50003481,6985405,0.0,1.95,0.0,5.84,0.0,4.48,0.21,0.03
1521997579.54027390,7025644,0.0,1.94,0.0,5.84,0.0,4.44,0.21,0.03
1521997579.58054590,7065916,0.0,1.94,0.0,5.85,0.0,4.43,0.21,0.03
1521997579.62054777,7105918,0.0,1.95,0.0,5.85,0.0,4.41,0.21,0.03
1521997579.66032076,7145691,0.0,1.95,0.0,5.82,0.0,4.38,0.16,0.02
1521997579.70016694,7185537,0.0,1.94,0.0,5.8,0.0,4.33,0.16,0.02
1521997579.74010181,7225472,0.0,1.94,0.0,5.84,0.0,4.29,0.16,0.02
1521997579.78040576,7265776,0.0,1.94,0.0,5.84,0.0,4.25,0.16,0.02
1521997579.82037091,7305741,0.0,1.95,0.0,5.83,0.0,4.22,0.16,0.02
1521997579.86011982,7345490,0.0,1.93,0.0,5.8,0.0,4.16,0.16,0.02
1521997579.90003586,7385406,0.0,1.94,0.0,5.83,0.0,4.07,0.13,0.02
1521997579.94009876,7425469,0.0,1.94,0.0,5.83,0.0,3.98,0.13,0.02
1521997579.98058677,7465957,0.0,1.94,0.0,5.83,0.0,3.99,0.13,0.02
1521997580.02085781,7506228,0.0,1.93,0.0,5.86,0.0,4.0,0.13,0.02
1521997580.06036186,7545732,0.0,1.95,0.0,5.87,0.0,3.98,0.13,0.01
1521997580.10046577,7585836,0.0,1.96,0.0,5.89,0.0,3.95,0.1,0.01
1521997580.14037395,7625744,0.0,1.94,0.0,5.87,0.0,3.92,0.1,0.01
1521997580.18064690,7666017,0.0,1.92,0.0,5.86,0.0,3.86,0.1,0.01
1521997580.22032690,7705697,0.0,1.94,0.0,5.85,0.0,3.8,0.1,0.01
1521997580.26038480,7745755,0.0,1.95,0.0,5.82,0.0,3.77,0.1,0.01
1521997580.30054474,7785915,0.0,1.95,0.0,5.79,0.0,3.79,0.1,0.01
1521997580.34052277,7825893,0.0,1.96,0.0,5.77,0.0,3.81,0.08,0.01
1521997580.38018394,7865554,0.0,1.98,0.0,5.76,0.0,3.82,0.08,0.01
1521997580.42040086,7905771,0.0,1.98,0.0,5.78,0.0,3.84,0.08,0.01
1521997580.46044683,7945817,0.0,1.98,0.0,5.81,0.0,3.86,0.08,0.01
1521997580.50022984,7985600,0.0,2.01,0.0,5.81,0.0,3.86,0.08,0.01
1521997580.54049587,8025866,0.0,2.02,0.0,5.79,0.0,3.85,0.07,0.01
1521997580.58056593,8065936,0.0,2.02,0.0,5.79,0.0,3.77,0.07,0.01
1521997580.62303185,8108402,0.0,2.02,0.0,5.79,0.0,3.7,0.05,0.01
