timestamp,TimeUS,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,ErrRP,ErrYaw
1523828623.96053576,5625938,0.0,4.37,0.0,3.02,0.0,12.43,1.0,0.51
1523828623.99996090,5665363,0.0,4.36,0.0,3.02,0.0,12.34,1.0,0.51
1523828624.04034877,5705751,0.0,4.35,0.0,3.03,0.0,12.26,0.8,0.51
1523828624.07998872,5745391,0.0,4.34,0.0,3.03,0.0,12.16,0.8,0.42
1523828624.11986589,5785268,0.0,4.33,0.0,3.04,0.0,12.03,0.8,0.42
1523828624.16007972,5825482,0.0,4.32,0.0,3.05,0.0,11.92,0.8,0.34
1523828624.19994092,5865343,0.0,4.32,0.0,3.05,0.0,11.84,0.8,0.34
1523828624.24029183,5905694,0.0,4.31,0.0,3.06,0.0,11.76,0.8,0.34
1523828624.27992582,5945328,0.0,4.31,0.0,3.06,0.0,11.69,0.64,0.27
1523828624.31987286,5985275,0.0,4.3,0.0,3.07,0.0,11.63,0.64,0.27
1523828624.36019683,6025599,0.0,4.3,0.0,3.08,0.0,11.58,0.64,0.22
1523828624.40004182,6065444,0.0,4.29,0.0,3.08,0.0,11.53,0.64,0.22
1523828624.44026589,6105668,0.0,4.29,0.0,3.08,0.0,11.49,0.64,0.22
1523828624.47987294,6145275,0.0,4.29,0.0,3.09,0.0,11.44,0.51,0.18
1523828624.51992488,6185327,0.0,4.28,0.0,3.09,0.0,11.39,0.51,0.18
1523828624.55994272,6225345,0.0,4.28,0.0,3.1,0.0,11.34,0.51,0.14
1523828624.59985471,6265257,0.0,4.28,0.0,3.1,0.0,11.34,0.51,0.14
1523828624.64020181,6305604,0.0,4.29,0.0,3.11,0.0,11.34,0.51,0.14
1523828624.68002582,6345428,0.0,4.29,0.0,3.11,0.0,11.32,0.41,0.12
1523828624.71999979,6385402,0.0,4.29,0.0,3.11,0.0,11.28,0.41,0.12
1523828624.76014972,6425552,0.0,4.29,0.0,3.11,0.0,11.24,0.41,0.09
1523828624.80009389,6465496,0.0,4.29,0.0,3.11,0.0,11.25,0.41,0.09
1523828624.84276986,6508172,0.0,4.3,0.0,3.11,0.0,11.26,0.41,0.09
1523828624.88028383,6545686,0.0,4.3,0.0,3.11,0.0,11.26,0.41,0.07
1523828624.92024684,6585649,0.0,4.31,0.0,3.11,0.0,11.26,0.32,0.07
1523828624.96001482,6625417,0.0,4.31,0.0,3.11,0.0,11.26,0.32,0.06
1523828625.00019193,6665594,0.0,4.32,0.0,3.11,0.0,11.24,0.32,0.06
1523828625.04099083,6706393,0.0,4.32,0.0,3.11,0.0,11.22,0.32,0.06
1523828625.08017683,6745579,0.0,4.33,0.0,3.11,0.0,11.24,0.32,0.05
1523828625.12006783,6785470,0.0,4.34,0.0,3.1,0.0,11.29,0.26,0.05
1523828625.15999889,6825401,0.0,4.39,0.0,3.15,0.0,11.36,0.26,0.04
1523828625.20010090,6865503,0.0,4.36,0.0,3.17,0.0,11.35,0.26,0.04
1523828625.24021578,6905618,0.0,4.32,0.0,3.03,0.0,11.35,0.26,0.04
1523828625.28010392,6945506,0.0,4.28,0.0,2.98,0.0,11.33,0.26,0.03
1523828625.31986976,6985272,0.0,4.34,0.0,2.93,0.0,11.3,0.21,0.03
1523828625.36012673,7025529,0.0,4.52,0.0,2.93,0.0,11.28,0.21,0.04
1523828625.40002084,7065423,0.0,4.61,0.0,2.87,0.0,11.47,0.21,0.04
1523828625.44041586,7105818,0.0,4.6,0.0,2.96,0.0,11.63,0.21,0.04
1523828625.47999382,7145396,0.0,4.61,0.0,3.06,0.0,11.95,0.21,0.06
1523828625.51990080,7185303,0.0,4.8,0.0,3.21,0.0,12.48,0.16,0.06
1523828625.56009674,7225499,0.0,4.74,0.0,3.4,0.0,12.96,0.16,0.07
1523828625.60014772,7265550,0.0,4.5,0.0,3.44,0.0,13.32,0.16,0.07
1523828625.64029980,7305702,0.0,4.49,0.0,3.41,0.0,13.62,0.16,0.07
1523828625.67980385,7345206,0.0,4.97,0.0,3.38,0.0,13.87,0.16,0.07
1523828625.71985984,7385262,0.0,5.22,0.0,3.2,0.0,14.12,0.16,0.07
1523828625.76009989,7425502,0.0,4.96,0.0,3.13,0.0,14.4,0.13,0.07
1523828625.80003977,7465442,0.0,4.8,0.0,3.34,0.0,14.62,0.13,0.07
1523828625.84058189,7505984,0.0,4.8,0.0,3.69,0.0,14.76,0.13,0.07
1523828625.88024688,7545649,0.0,5.12,0.0,3.7,0.0,14.99,0.13,0.08
1523828625.92033172,7585734,0.0,5.77,0.0,3.58,0.0,15.21,0.13,0.08
1523828625.96032071,7625723,0.0,5.91,0.0,3.23,0.0,15.44,0.11,0.09
1523828626.00017691,7665579,0.0,5.38,0.0,2.73,0.0,15.85,0.11,0.09
1523828626.04052472,7705927,0.0,5.28,0.0,2.76,0.0,16.23,0.11,0.09
1523828626.08007383,7745476,0.0,5.39,0.0,3.09,0.0,16.55,0.11,0.09
1523828626.12020373,7785606,0.0,5.14,0.0,3.24,0.0,16.89,0.11,0.09
1523828626.16020584,7825608,0.0,5.02,0.0,3.32,0.0,17.25,0.11,0.07
1523828626.20014191,7865544,0.0,5.26,0.0,3.2,0.0,17.25,0.08,0.07
1523828626.24022675,7905629,0.0,5.3,0.0,3.2,0.0,17.23,0.08,0.07
1523828626.28035378,7945756,0.0,5.21,0.0,3.2,0.0,17.1,0.08,0.07
1523828626.32006884,7985471,0.0,5.21,0.0,3.22,0.0,16.93,0.08,0.07
1523828626.36012483,8025527,0.0,5.22,0.0,3.21,0.0,16.76,0.08,0.07
1523828626.40009594,8065498,0.0,5.17,0.0,3.23,0.0,16.42,0.07,0.07
1523828626.44046283,8105865,0.0,5.41,0.0,3.15,0.0,16.03,0.07,0.07
1523828626.48007393,8145476,0.0,5.59,0.0,2.95,0.0,15.83,0.07,0.06
1523828626.51978588,8185188,0.0,5.37,0.0,2.97,0.0,15.77,0.07,0.06
1523828626.55990887,8225311,0.0,4.9,0.0,3.04,0.0,15.71,0.07,0.07
1523828626.60014081,8265543,0.0,4.71,0.0,3.28,0.0,15.42,0.05,0.07
1523828626.64030075,8305703,0.0,4.92,0.0,3.57,0.0,15.05,0.05,0.07
1523828626.67994690,8345349,0.0,5.32,0.0,3.52,0.0,14.75,0.05,0.06
1523828626.71991992,8385322,0.0,5.59,0.0,3.23,0.0,14.54,0.05,0.06
1523828626.76022983,8425632,0.0,5.28,0.0,2.9,0.0,14.49,0.05,0.06
1523828626.80015373,8465556,0.0,4.66,0.0,2.83,0.0,14.45,0.04,0.06
1523828626.84078193,8506184,0.0,4.43,0.0,3.13,0.0,14.3,0.04,0.06
1523828626.88011384,8545516,0.0,4.53,0.0,3.43,0.0,14.02,0.04,0.07
1523828626.91990590,8585308,0.0,4.79,0.0,3.37,0.0,13.68,0.04,0.07
1523828626.96034288,8625745,0.0,4.91,0.0,3.19,0.0,13.39,0.04,0.06
1523828627.00044274,8665845,0.0,4.87,0.0,2.83,0.0,13.32,0.04,0.06
1523828627.04022479,8705627,0.0,4.92,0.0,2.87,0.0,13.35,0.04,0.06
1523828627.08031487,8745717,0.0,4.91,0.0,3.02,0.0,13.25,0.04,0.06
1523828627.11997581,8785378,0.0,4.92,0.0,3.09,0.0,13.05,0.04,0.06
1523828627.15992379,8825326,0.0,4.93,0.0,3.11,0.0,12.85,0.04,0.06
1523828627.20011687,8865519,0.0,4.93,0.0,3.14,0.0,12.69,0.04,0.06
1523828627.24049377,8905896,0.0,4.92,0.0,3.16,0.0,12.54,0.03,0.06
1523828627.27999973,8945402,0.0,4.84,0.0,3.24,0.0,12.37,0.03,0.06
1523828627.31996775,8985370,0.0,4.79,0.0,3.25,0.0,12.23,0.03,0.06
